REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2026-08-01 00:05:00,8898.91,89.88,TRADE
NSW1,2026-08-01 00:10:00,9032.33,95.05,TRADE
NSW1,2026-08-01 00:15:00,8989.12,88.88,TRADE
NSW1,2026-08-01 00:20:00,9036.72,88.88,TRADE
NSW1,2026-08-01 00:25:00,8946.67,84.79,TRADE
NSW1,2026-08-01 00:30:00,8995.51,88.48,TRADE
NSW1,2026-08-01 00:35:00,8955.41,88.56,TRADE
NSW1,2026-08-01 00:40:00,8894.21,88.88,TRADE
NSW1,2026-08-01 00:45:00,8825.49,81.17,TRADE
NSW1,2026-08-01 00:50:00,8821.45,81.74,TRADE
NSW1,2026-08-01 00:55:00,8700.11,79.98,TRADE
NSW1,2026-08-01 01:00:00,8677.44,79.33,TRADE
NSW1,2026-08-01 01:05:00,8539.87,73.08,TRADE
NSW1,2026-08-01 01:10:00,8506.36,73.93,TRADE
NSW1,2026-08-01 01:15:00,8499.3,78.78,TRADE
NSW1,2026-08-01 01:20:00,8457.29,80.7,TRADE
NSW1,2026-08-01 01:25:00,8404.18,78.07,TRADE
NSW1,2026-08-01 01:30:00,8355.44,73.32,TRADE
NSW1,2026-08-01 01:35:00,8310.52,78.2,TRADE
NSW1,2026-08-01 01:40:00,8274.69,79.53,TRADE
NSW1,2026-08-01 01:45:00,8214.6,80.65,TRADE
NSW1,2026-08-01 01:50:00,8235.27,81.38,TRADE
NSW1,2026-08-01 01:55:00,8149.09,80.66,TRADE
NSW1,2026-08-01 02:00:00,8051.45,69.99,TRADE
NSW1,2026-08-01 02:05:00,8020.47,78.88,TRADE
NSW1,2026-08-01 02:10:00,8078.24,88.88,TRADE
NSW1,2026-08-01 02:15:00,8023.28,80.99,TRADE
NSW1,2026-08-01 02:20:00,8027.22,81.73,TRADE
NSW1,2026-08-01 02:25:00,8004.17,83.34,TRADE
NSW1,2026-08-01 02:30:00,7998.59,84.79,TRADE
NSW1,2026-08-01 02:35:00,7938.94,83.34,TRADE
NSW1,2026-08-01 02:40:00,7945.07,80.43,TRADE
NSW1,2026-08-01 02:45:00,7920.74,74.17,TRADE
NSW1,2026-08-01 02:50:00,7808.95,83.34,TRADE
NSW1,2026-08-01 02:55:00,7855.29,78.54,TRADE
NSW1,2026-08-01 03:00:00,7766.16,64.95,TRADE
NSW1,2026-08-01 03:05:00,7784.2,74.78,TRADE
NSW1,2026-08-01 03:10:00,7732.75,69.99,TRADE
NSW1,2026-08-01 03:15:00,7763.24,79.2,TRADE
NSW1,2026-08-01 03:20:00,7737.55,78.56,TRADE
NSW1,2026-08-01 03:25:00,7773.58,83.34,TRADE
NSW1,2026-08-01 03:30:00,7747.69,77.88,TRADE
NSW1,2026-08-01 03:35:00,7663.04,65.04,TRADE
NSW1,2026-08-01 03:40:00,7633.8,76.13,TRADE
NSW1,2026-08-01 03:45:00,7714.42,74.18,TRADE
NSW1,2026-08-01 03:50:00,7693.99,74.22,TRADE
NSW1,2026-08-01 03:55:00,7712.71,77.94,TRADE
NSW1,2026-08-01 04:00:00,7642.53,64.52,TRADE
NSW1,2026-08-01 04:05:00,7687.95,77.32,TRADE
NSW1,2026-08-01 04:10:00,7736.44,78.62,TRADE
NSW1,2026-08-01 04:15:00,7740.18,79.34,TRADE
NSW1,2026-08-01 04:20:00,7761.51,79.33,TRADE
NSW1,2026-08-01 04:25:00,7667.8,77.19,TRADE
